Name,Description,Detail Page URL,Page
Captain Darwin,Expedition documenting evolution of biodiversity since Darwin and raising awareness about biodiversity protection. Concarneau France.,https://directories.onepercentfortheplanet.org/profile/captain-darwin,41
Association du Refuge des Tortues,Biodiversity & Wildlife focused organization in Bessieres France.,https://directories.onepercentfortheplanet.org/profile/association-du-refuge-des-tortues,41
Passeport Transition 06,Climate Adaptation focused organization in Biot France.,https://directories.onepercentfortheplanet.org/profile/passeport-transition-06,41
The Vinguard,Food Systems focused organization in San Francisco CA.,https://directories.onepercentfortheplanet.org/profile/the-vinguard,41
Gea Chelonia Foundation,Bulgarian non-profit dedicated to the conservation of tortoises.,https://directories.onepercentfortheplanet.org/profile/gea-chelonia-foundation,41
Southern Alberta Land Trust Society,Rancher-based land trust protecting Albertas ecologically valuable private lands. High River AB Canada.,https://directories.onepercentfortheplanet.org/profile/southern-alberta-land-trust-society,41
Essex Region Conservation Foundation,Terrestrial Ecosystems focused organization in Essex ON Canada.,https://directories.onepercentfortheplanet.org/profile/essex-region-conservation-foundation,41
New Agriculture New Generation,Employment and entrepreneurship opportunities for youth in the Greek Agrifood sector. Athens Greece.,https://directories.onepercentfortheplanet.org/profile/new-agriculture-new-generation,41
Rising Hearts,Environmental Education focused organization in Harrisonburg VA.,https://directories.onepercentfortheplanet.org/profile/rising-hearts,41
Habitat Corridor Project,Educating the public about use of California native plants in urban environment. Sebastopol CA.,https://directories.onepercentfortheplanet.org/profile/habitat-corridor-project,41
Revelstoke Bear Aware Society,Keeping bears wild and our community safe. Revelstoke BC Canada.,https://directories.onepercentfortheplanet.org/profile/revelstoke-bear-aware-society,41
Re_Generation,Re-imagining business education and re-purposing careers. Montreal QC Canada.,https://directories.onepercentfortheplanet.org/profile/regeneration-1,41
OCEAN QUEST FRANCE,Coral restoration and marine ecosystems conservation. Toulon France.,https://directories.onepercentfortheplanet.org/profile/ocean-quest-france,41
Oceans Alive Conservation Trust,Protecting oceans and coastal environments through scientific research and marine wildlife conservation. South Africa.,https://directories.onepercentfortheplanet.org/profile/oceans-alive-conservation-trust-npo-pbo,41
Southern Otway Landcare Network,Grassroots community organisation dedicated to protecting and restoring environment. Apollo Bay VIC Australia.,https://directories.onepercentfortheplanet.org/profile/southern-otway-landcare-network,41
Bye Bye Plastic USA,Responsible Consumption & Production focused organization in West Hollywood CA.,https://directories.onepercentfortheplanet.org/profile/bye-bye-plastic-usa,41
Social Justice Fund Ventura County,Sustainable Livelihoods focused organization.,https://directories.onepercentfortheplanet.org/profile/social-justice-fund-ventura-county,41
OpenAQ,Global air quality data platform universally accessible free and open-source. Washington DC.,https://directories.onepercentfortheplanet.org/profile/openaq,41
Seed Peace (merged with Farm Collaborative),Food Systems focused organization in Carbondale CO.,https://directories.onepercentfortheplanet.org/profile/seed-peace-now-merged-with-partner-nonprofit-farm-collaborative,41
Climate Town,Rollie Williams and a ragtag team examining climate change in accessible and comedic way. New York NY.,https://directories.onepercentfortheplanet.org/profile/climatetown,41
THOUSAND YEAR TRUST,Restoring Britains Rainforests. Bodmin Moor Cornwall UK.,https://directories.onepercentfortheplanet.org/profile/thousand-year-trust,42
San Diego Environmental Film Festival,501c3 nonprofit created to inspire and affect social change through film and art. San Diego CA.,https://directories.onepercentfortheplanet.org/profile/san-diego-environmental-film-festival,42
Fondazione Banco Alimentare Onlus,Coordinates and guides the Banco Alimentare Network recovering and redistributing food surpluses to charities. Milan Italy.,https://directories.onepercentfortheplanet.org/profile/fondazione-banco-alimentare-onlus,42
North Branch Nature Center,Integral part of outdoor recreation and learning in Central Vermont serving 15000 people annually. Montpelier VT.,https://directories.onepercentfortheplanet.org/profile/north-branch-nature-center,42
Great Land Trust,Freshwater Ecosystems focused organization in Anchorage AK.,https://directories.onepercentfortheplanet.org/profile/great-land-trust,42
Shell to Shore,Georgias oyster shell recycling program diverting shells from landfill for coastal conservation. Athens GA.,https://directories.onepercentfortheplanet.org/profile/shell-to-shore,42
Asociacion La Ruta del Clima,Costa Rican NGO advocating for climate justice and public participation. Cartago Costa Rica.,https://directories.onepercentfortheplanet.org/profile/asociacin-la-ruta-del-clima,42
Regenerative Farms Inc.,Focusing on hunger biodiversity rainforests regenerative farming agroforestry and climate resilience. Ashfield MA.,https://directories.onepercentfortheplanet.org/profile/regenerative-farms-inc,42
ExtraVERTie,Environmental installation using humor and carnival codes to help understand environmental urgency. Paris France.,https://directories.onepercentfortheplanet.org/profile/extravertie,42
The Nautilus Project,Marine conservation education and research centre. Gibraltar.,https://directories.onepercentfortheplanet.org/profile/the-nautilus-project,42
Southern Kettles Off Road Riders Limited (SKORR),Nature Access focused organization in Wales WI.,https://directories.onepercentfortheplanet.org/profile/southern-kettles-off-road-riders-limited-skorr,42
Organizacion para la Conservacion de Cetaceos,Promoting ocean culture and literacy empowering communities to guard marine ecosystems. Punta del Este Uruguay.,https://directories.onepercentfortheplanet.org/profile/organizacin-para-la-conservacin-de-cetceos-occ,42
Keep Tempe Beautiful,501(c)3 volunteer-run nonprofit committed to making Tempe a clean green beautiful place. Tempe AZ.,https://directories.onepercentfortheplanet.org/profile/keep-tempe-beautiful,42
nos bois pour demain,Sustainable management and preservation of woodlands in Maisonnisses and adjacent communes France.,https://directories.onepercentfortheplanet.org/profile/nos-bois-pour-demain,42
Cloud City Conservation Center,Healthy Planet Healthy People. Leadville CO.,https://directories.onepercentfortheplanet.org/profile/cloud-city-conservation-center,42
Kaarakin black cockatoo preservation society,Biodiversity & Wildlife focused organization in Martin Western Australia.,https://directories.onepercentfortheplanet.org/profile/kaarakin-black-cockatoo-preservation-society,42
Naturwald Akademie gGmbH,Researching informing advising and promoting for natural forests and old trees. Lubeck Germany.,https://directories.onepercentfortheplanet.org/profile/naturwald-akademie-ggmbh,42
Residents Forward,Environmental Education focused organization in Port Washington NY.,https://directories.onepercentfortheplanet.org/profile/residents-forward,42
Sea Forward Fund,Multi-donor endowment supporting sustainable blue economy and healthy ocean. Bethesda MD.,https://directories.onepercentfortheplanet.org/profile/sea-forward-fund,42
Clean Label Project,Changing the definition of food and consumer product safety in America. Broomfield CO.,https://directories.onepercentfortheplanet.org/profile/clean-label-project,42
Ecological Citizens Project Inc.,Food Systems focused organization in Philipstown NY.,https://directories.onepercentfortheplanet.org/profile/ecological-citizens-project-inc,43
Alpes Supply Chain,Association in the Alps for supply chain professionals acting on environmental impact. Les Villards-sur-Thones France.,https://directories.onepercentfortheplanet.org/profile/alpes-supply-chain,43
Fundacion Horizonte Ciudadano,Climate Action for air quality to protect childrens health and future. Santiago Chile.,https://directories.onepercentfortheplanet.org/profile/fundacin-horizonte-ciudadano,43
Two Oceans Aquarium Foundation,South African non-profit inspiring people to take action for the ocean. Cape Town South Africa.,https://directories.onepercentfortheplanet.org/profile/two-oceans-aquarium-foundation,43
Avian Haven,Wild bird and turtle rehabilitation center in Freedom Maine.,https://directories.onepercentfortheplanet.org/profile/avian-haven,43
Petaluma River Park Foundation,A shared space for people art and nature in beautiful Sonoma County CA.,https://directories.onepercentfortheplanet.org/profile/petaluma-river-park-foundation,43
Prince William Sound Stewardship Foundation,Dedicated to keeping Prince William Sound healthy clean and wild for all to enjoy. Girdwood AK.,https://directories.onepercentfortheplanet.org/profile/prince-william-sound-stewardship-foundation,43
Bat Conservation International,Conserving the worlds bats and their ecosystems to ensure a healthy planet. Austin TX.,https://directories.onepercentfortheplanet.org/profile/bat-conservation-international,43
The Berry Good Food Foundation Inc,Grassroots non-profit in San Diego and Baja supporting food security and food education. San Diego CA.,https://directories.onepercentfortheplanet.org/profile/berry-good-food-foundation-inc,43
Ecole Internationale Antonia,Climate Adaptation focused organization in Montpellier France.,https://directories.onepercentfortheplanet.org/profile/ecole-internationale-antonia,43
Centre quebecois du droit de lenvironnement,Biodiversity & Wildlife focused organization in Montreal QC Canada.,https://directories.onepercentfortheplanet.org/profile/centre-qubcois-du-droit-de-lenvironnement,43
Light Humanity,Removing technological economic and educational barriers to universal access to sustainable energy. Madrid Spain.,https://directories.onepercentfortheplanet.org/profile/light-humanity-comercial-name-the-juridical-name-is-zima-project-asociacion-soberania-energetica,43
LPO Occitanie,Working for knowledge and protection of species management of natural sites and environmental education. Villeveyrac France.,https://directories.onepercentfortheplanet.org/profile/lpo-occitanie,43
OUT for Sustainability,Climate Adaptation focused organization in Washington DC.,https://directories.onepercentfortheplanet.org/profile/out-for-sustainability,43
Common Grain Alliance,Community of grain farmers millers maltsters bakers brewers distillers and chefs building regenerative grain economy. Richmond VA.,https://directories.onepercentfortheplanet.org/profile/common-grain-alliance,43
Element-terre sail,Association for discovering and democratizing DIY and alternative lifestyles around the Atlantic. La Rochelle France.,https://directories.onepercentfortheplanet.org/profile/lmentterre-sail,43
Eau et Soleil du Lac,Renewable Energy focused organization in Le Bourget du lac France.,https://directories.onepercentfortheplanet.org/profile/eau-et-soleil-du-lac,43
Coastlove Inc.,Believing all voices must be heard to create lasting change for our planet. Big Pine Key FL.,https://directories.onepercentfortheplanet.org/profile/coastloveinc,43
United World Challenge,Marine Ecosystems focused organization in Nederland CO.,https://directories.onepercentfortheplanet.org/profile/united-world-challenge,43
Zala briviba (Green Liberty),Non-profit fighting adverse social and environmental trends in consumerism trade and globalization. Riga Latvia.,https://directories.onepercentfortheplanet.org/profile/za-brvba,43
Centro Ecumenico De Promocion y Accion Social Norte - CEDEPAS Norte,Community Conservation focused organization in Trujillo Peru.,https://directories.onepercentfortheplanet.org/profile/centro-ecumnico-de-promocin-y-accin-social-norte-cedepas-norte,44
RISE by Sundara,Supporting womens financial empowerment while tackling critical water sanitation and hygiene issues. New York NY.,https://directories.onepercentfortheplanet.org/profile/rise-by-sundara,44
Lost Sierra Food Project,Envisioning regional food systems where everyone has access to healthy affordable food. Quincy CA.,https://directories.onepercentfortheplanet.org/profile/lost-sierra-food-project,44
Special Bird Service Society,Creating connections through recreation education and habitat restoration centered around birdwatching. Victoria BC Canada.,https://directories.onepercentfortheplanet.org/profile/special-bird-service-society,44
Le Petit Baobab 38,Renewable Energy focused organization in Grenoble France.,https://directories.onepercentfortheplanet.org/profile/le-petit-baobab-38,44
SURAJ FOUNDATION,Environmental Education focused organization in Narok Kenya.,https://directories.onepercentfortheplanet.org/profile/suraj-foundation,44
Les Jardins de Lucie,Environmental Education focused organization in Communay France.,https://directories.onepercentfortheplanet.org/profile/les-jardins-de-lucie,44
Association Le jardin des Futurs,Fighting against dropping out of school through organic market gardening and resilience education. Empury France.,https://directories.onepercentfortheplanet.org/profile/association-le-jardin-des-futurs,44
Jaguar Siembra - Natur & Kultur Verein,Community regenerative agroecology co-growing ceremonial cacao and coffee with native peoples of Colombia. Vienna Austria.,https://directories.onepercentfortheplanet.org/profile/jaguar-siembra-natur-kultur-verein,44
Bikepacking Roots,Route development community building conservation and advocacy. Prescott AZ.,https://directories.onepercentfortheplanet.org/profile/bikepacking-roots,44
Mornington Peninsula and Western Port Biosphere Reserve Foundation Ltd,Promoting biodiversity and sustainable development within UNESCO-designated Biosphere Reserve. Hastings VIC Australia.,https://directories.onepercentfortheplanet.org/profile/mornington-peninsula-and-western-port-biosphere-reserve-foundation-ltd,44
Southern Off-Road Bicycle Association,Support organization for 47 chapters in the Southeast United States. Ellijay GA.,https://directories.onepercentfortheplanet.org/profile/southern-offroad-bicycle-association,44
Dutch Civilian Action,Dedicated to aiding communities fostering peace and safeguarding environment amidst wars challenges. Noordwijk Netherlands.,https://directories.onepercentfortheplanet.org/profile/dutch-civilian-action,44
Fundacion Amigos de las Abejas,Protecting and promoting pollinators. Guadalajara Spain.,https://directories.onepercentfortheplanet.org/profile/fundacin-amigos-de-las-abejas,44
Planeta Seaumanoid,Reaching children in Peruvian public schools with ocean conservation and climate adaptation since 2016. Lima Peru.,https://directories.onepercentfortheplanet.org/profile/planeta-seaumanoid,44
Trees for Canterbury,Native plant nursery supporting environmental projects and community support for disabled and disadvantaged. Christchurch New Zealand.,https://directories.onepercentfortheplanet.org/profile/green-effect-trust-ta-trees-for-canterbury,44
Sustainable Entertainment Society,Sustainable Entertainment Green Filmmaking Clean Tech Green Vendors Green Storytelling. North Vancouver BC Canada.,https://directories.onepercentfortheplanet.org/profile/sustainable-entertainment-society,44
YAKUM,Regenerating rainforests foods and cultures. Richmond UK/Ecuador.,https://directories.onepercentfortheplanet.org/profile/yakum,44
Nashua River Watershed Association,Water protection land protection environmental education climate resiliency ecological restoration. Groton MA.,https://directories.onepercentfortheplanet.org/profile/nashua-river-watershed-association,44
AdoptOneBlock,Environmental and community building nonprofit focused on keeping communities free of trash litter and debris. Portland OR.,https://directories.onepercentfortheplanet.org/profile/adoptoneblock,44
The Bulb Gallery,Nonprofit farmers market focused on barrier-free access to quality produce for food insecure communities. Charlotte NC.,https://directories.onepercentfortheplanet.org/profile/the-bulb-gallery,45
Experience Nature Unplugged,Providing education and training to promote preventative mental health solutions inspiring wellness in digital age. Encinitas CA.,https://directories.onepercentfortheplanet.org/profile/experience-nature-unplugged,45
Treeapp,Global tree planting organisation enabling organisations to plant trees where they are needed most. London UK.,https://directories.onepercentfortheplanet.org/profile/treeapp,45
EBE Labeille Verte,Environmental Education focused organization in Lodeve France.,https://directories.onepercentfortheplanet.org/profile/ebe-labeille-verte,45
Evoke Family Foundation,Provides grants to families seeking behavioral mental health and addiction treatment through wilderness programs. St. George UT.,https://directories.onepercentfortheplanet.org/profile/evoke-family-foundation,45
Bay leaf community kitchen,Sustainable Livelihoods focused organization in Breakwater VIC Australia.,https://directories.onepercentfortheplanet.org/profile/bay-leaf-community-kitchen,45
Andong KFEM,Andong branch of Korea Federation for Environmental Movements addressing local environmental issues. Andong-si South Korea.,https://directories.onepercentfortheplanet.org/profile/andong-kfemkorea-federation-for-environmental-movements-in-andong,45
Bute Community Forest,Local charity focused on environmental education habitat restoration and community access to nature. Isle of Bute Scotland.,https://directories.onepercentfortheplanet.org/profile/bute-community-land-company-known-as-bute-community-forest,45
The Ocean And Us,Global nonprofit building community and inspiring action to protect ocean health. Den Haag Netherlands.,https://directories.onepercentfortheplanet.org/profile/women4oceans-dba-the-ocean-and-us,45
Nebraska Wildlife Rehab Inc.,Biodiversity & Wildlife focused organization in Omaha NE.,https://directories.onepercentfortheplanet.org/profile/nebraska-wildlife-rehab-inc,45
Greener by Default,Empowering institutions with evidence-based consulting in serving plant-forward food. Chicago IL.,https://directories.onepercentfortheplanet.org/profile/greener-by-default,45
Beaver Brook Association,Manages 2200 acres of conservation land with 35 miles of trails and provides environmental education. Hollis NH.,https://directories.onepercentfortheplanet.org/profile/beaver-brook-association,45
La Colporteuse,Environmental Education focused organization in Argentonnay France.,https://directories.onepercentfortheplanet.org/profile/la-colporteuse,45
Livingseas Foundation,Marine conservation organisation preserving and rebuilding coastal and marine ecosystems. Padangbai Bali Indonesia.,https://directories.onepercentfortheplanet.org/profile/livingseas-foundation,45
In The Drink UK CIC,Reducing plastic pollution in the River Thames by supporting venues to quit single-use plastic. London UK.,https://directories.onepercentfortheplanet.org/profile/in-the-drink-cic,45
Hunger Task Force,Food Systems focused organization in West Milwaukee WI.,https://directories.onepercentfortheplanet.org/profile/hunger-task-force,45
Solidarite pour un Developpement Humain (SDH),Sustainable Livelihoods focused organization in Tournon dAgenais France.,https://directories.onepercentfortheplanet.org/profile/solidarit-pour-un-dveloppement-humain-sdh,45
Feeding Mouths Filling Minds,Partnering to build sustainable communities in Sub-Saharan Africa through nutrition and education. Brookfield WI.,https://directories.onepercentfortheplanet.org/profile/feeding-mouths-filling-minds,45
Project Fashion Fixed CIC,Tackling climate anxiety through fashion education and supporting youth creativity for eco-solutions. Lincoln UK.,https://directories.onepercentfortheplanet.org/profile/project-fashion-fixed-cic,45
Go Electric Colorado,Teaching Colorado homeowners and contractors energy literacy and how to electrify homes. Boulder CO.,https://directories.onepercentfortheplanet.org/profile/go-electric-colorado,45
Rainbow Socks,Bringing affordable nature and science-based musical and theatrical programming to all. Boulder CO.,https://directories.onepercentfortheplanet.org/profile/rainbow-socks,46
Incredible Edible,Sustainable Cities focused organization in Todmorden UK.,https://directories.onepercentfortheplanet.org/profile/incredible-edible,46
Sugar Maple Nature School,Public tuition-free charter school serving students in grades K-5. Saukville WI.,https://directories.onepercentfortheplanet.org/profile/sugar-maple-nature-school-fka-the-riveredge-outdoor-learning-elementary-school,46
Skydog Sanctuary,Biodiversity & Wildlife focused organization in Malibu CA.,https://directories.onepercentfortheplanet.org/profile/skydog-sanctuary,46
MARGATE INDEPENDENT FOODBANK CIC,Community Conservation focused organization in Margate Kent UK.,https://directories.onepercentfortheplanet.org/profile/margate-indepfendent-foodbank-community-interest-company,46
Merri Creek Management Committee,Community Conservation focused organization in Brunswick East VIC Australia.,https://directories.onepercentfortheplanet.org/profile/merri-creek-management-committee,46
Association BLEU GORGONE,Marine Ecosystems focused organization in Nice France.,https://directories.onepercentfortheplanet.org/profile/association-bleu-gorgone,46
The Great Dixter Charitable Trust,A historically important house and garden teaching and inspiring others to promote biodiversity. Rye UK.,https://directories.onepercentfortheplanet.org/profile/the-great-dixter-charitable-trust,46
Housing Action Coalition,Nonprofit housing advocacy organization in San Francisco CA.,https://directories.onepercentfortheplanet.org/profile/housing-action-coalition,46
Unci Intertribal,Centering Indigenous knowledge to educate promote peace protect and restore sacred environments. Poway CA.,https://directories.onepercentfortheplanet.org/profile/unciintertribal,46
Florida Solar Energy Industries Association,Renewable Energy focused organization in Sarasota FL.,https://directories.onepercentfortheplanet.org/profile/florida-solar-energy-industries-association,46
Regional Food Bank,Food Systems focused organization in Latham NY.,https://directories.onepercentfortheplanet.org/profile/regional-food-bank,46
Crab Museum,An irreverent and innovative independent science museum about marine biology. Margate UK.,https://directories.onepercentfortheplanet.org/profile/crab-museum,46
Frosted Faces Foundation,Responsible Consumption & Production focused organization in Ramona CA.,https://directories.onepercentfortheplanet.org/profile/frosted-faces-foundation,46
The Hunter Gatherers Hastings,Social venture restoring nature innovating food production and educating all audiences. East Sussex UK.,https://directories.onepercentfortheplanet.org/profile/the-hunter-gatherers-hastings,46
Walking Water,Contributing to the movement holding restoration of our relations with water at the center. Graton CA.,https://directories.onepercentfortheplanet.org/profile/walking-water,46
Ceseau,Environmental Education focused organization in Talence France.,https://directories.onepercentfortheplanet.org/profile/ceseau,46
Le Verger des Amis,Environmental Education focused organization in Mainvilliers France.,https://directories.onepercentfortheplanet.org/profile/le-verger-des-amis-1,46
Muskegon River Watershed Assembly,Regional leader in watershed restoration projects for more than 25 years. Big Rapids MI.,https://directories.onepercentfortheplanet.org/profile/muskegon-river-watershed-assembly,46
Human Nature Counselling Society,Providing nature-based mental health services supporting people in reconnecting with their earthly home. Victoria BC Canada.,https://directories.onepercentfortheplanet.org/profile/human-nature-counselling-society,46
Mongabay.org,Non-profit delivering news and inspiration from Natures frontline via network of 900+ journalists in 80 countries. Menlo Park CA.,https://directories.onepercentfortheplanet.org/profile/mongabayorg,47
SeaSisters Sri Lanka,Non-profit empowering local women and girls through swimming surfing and ocean education. Unawatuna Sri Lanka.,https://directories.onepercentfortheplanet.org/profile/seasisters-sri-lanka,47
Forest Keeper / Copper Canyon Alliance,Land & Water Rights focused organization in Barnardsville NC.,https://directories.onepercentfortheplanet.org/profile/forest-keeper-copper-canyon-alliance,47
Cape Ann Vernal Pond Team,Focused on environment education conservation wetlands biodiversity and vernal ponds. Gloucester MA.,https://directories.onepercentfortheplanet.org/profile/cape-ann-vernal-pond-team,47
National Museum of Wildlife Art of the United States,Inspiring connections with wildlife and nature. Jackson WY.,https://directories.onepercentfortheplanet.org/profile/national-museum-of-wildlife-art-of-the-united-states,47
Southwest Colorado Canyons Alliance,Collaborating with BLM to preserve and promote Canyons of the Ancients National Monument. Cortez CO.,https://directories.onepercentfortheplanet.org/profile/southwest-colorado-canyons-alliance,47
Women Food and Agriculture Network (WFAN),Ecofeminist network for co-creating an ecological and just food and farming system. Story City IA.,https://directories.onepercentfortheplanet.org/profile/women-food-and-agriculture-network,47
Montana Trout Unlimited,Conservation organization making trout fisheries in Montana healthier through projects education and advocacy. Missoula MT.,https://directories.onepercentfortheplanet.org/profile/montana-trout-unlimited,47
Cape Elizabeth Land Trust,Conserving Cape Elizabeths great spaces and inspiring next generation of environmental stewards. Cape Elizabeth ME.,https://directories.onepercentfortheplanet.org/profile/cape-elizabeth-land-trust,47
Wildtracks USA,Working to protect and conserve endangered species and biodiversity. Indian Hills CO.,https://directories.onepercentfortheplanet.org/profile/wildtracks-usa,47
Quinn Institute,Healing the Planet by growing Food as Medicine through regenerative organic agricultural research education and health. Big Sandy MT.,https://directories.onepercentfortheplanet.org/profile/quinn-institue,47
Saha Global,Ensuring access to safe affordable drinking water for rural communities by training women entrepreneurs. New York NY.,https://directories.onepercentfortheplanet.org/profile/saha-global,47
Valley View Nature Preserve,Nature Preserve in Milford OH.,https://directories.onepercentfortheplanet.org/profile/valley-view-nature-preserve,47
Scrap2Home,Collecting scrap wood from construction sites to build furniture donated to people in need. Madeira OH.,https://directories.onepercentfortheplanet.org/profile/scrap2home,47
Le Ciel Foundation,Building conscious communities integrating circularity multi-generational thinking and net positive impact. London UK.,https://directories.onepercentfortheplanet.org/profile/le-ciel-foundation,47
Appalachian Corridor,Biodiversity & Wildlife focused organization in Eastman QC Canada.,https://directories.onepercentfortheplanet.org/profile/appalachian-corridor,47
The Iris Project,Youth-led movement restoring and protecting nature through community-driven action. London UK.,https://directories.onepercentfortheplanet.org/profile/the-iris-project,47
heart of bs13,Creating and inspiring change in Hartcliffe and Withywood in South Bristol UK.,https://directories.onepercentfortheplanet.org/profile/heart-of-bs13,47
Habitat for Humanity of Greater Cincinnati,Sustainable Cities focused organization in Cincinnati OH.,https://directories.onepercentfortheplanet.org/profile/habitat-for-humanity-of-greater-cincinnati,47
ELSO Inc.,Providing culturally relevant STEAM education and leadership development empowering youth of color to experience life science outdoors. Portland OR.,https://directories.onepercentfortheplanet.org/profile/elso-inc,47
Nature Groupie,Community Conservation focused organization in Durham NH.,https://directories.onepercentfortheplanet.org/profile/nature-groupie,48
Central California Food Bank,Food Systems focused organization in Fresno CA.,https://directories.onepercentfortheplanet.org/profile/central-california-food-bank,48
El Pasoans Fighting Hunger,El Pasos only food bank and member of Feeding America. El Paso TX.,https://directories.onepercentfortheplanet.org/profile/el-pasoans-fighting-hunger,48
Landesa,Land & Water Rights focused organization in Seattle WA.,https://directories.onepercentfortheplanet.org/profile/landesa,48
360 Eats,501(c)(3) nonprofit creating a just and sustainable food system free from hunger and waste. Clearwater FL.,https://directories.onepercentfortheplanet.org/profile/360-eats,48
Ridge to Reefs,Scaling nature based solutions to wastewater water pollution habitat restoration and food security. Sykesville MD.,https://directories.onepercentfortheplanet.org/profile/ridge-to-reefs,48
Netwerk Duurzame Mobiliteit,Sustainable Cities focused organization in Gent Belgium.,https://directories.onepercentfortheplanet.org/profile/netwerk-duurzame-mobiliteit,48
Josephine Porter Institute for Applied Biodynamics,Serving farmers gardeners and ranchers by providing education in biodynamic methods for growing food. Floyd VA.,https://directories.onepercentfortheplanet.org/profile/josephine-porter-institute-for-applied-biodynamics,48
Forest Farm,Food edible forest organization in Asse Belgium.,https://directories.onepercentfortheplanet.org/profile/forest-farm,48
Great Springs Project,Working to conserve additional 50000 acres of land and connect San Antonio and Austin with 100+ mile trail. Austin TX.,https://directories.onepercentfortheplanet.org/profile/great-springs-project,48
Southeast Land Trust of New Hampshire (SELT),Conserving and stewarding land for benefit of people and nature in southeast New Hampshire. Epping NH.,https://directories.onepercentfortheplanet.org/profile/southeast-land-trust-of-new-england-selt,48
Fish Reef Project,Decarbonization focused organization in Santa Barbara CA.,https://directories.onepercentfortheplanet.org/profile/fish-reef-project,48
Wyoming Wildlife Advocates,Fighting for wildlife in the Greater Yellowstone Ecosystem and across Wyoming. Wilson WY.,https://directories.onepercentfortheplanet.org/profile/wyoming-wildlife-advocates,48
Wonder Woods NFP,Nonprofit urban forest play school for kids age 0-12 in Chicago IL.,https://directories.onepercentfortheplanet.org/profile/wonder-woods-nfp,48
Global Warming Mitigation Project,Decarbonization focused organization in New York NY.,https://directories.onepercentfortheplanet.org/profile/global-warming-mitigation-project,48
Groundswell Collective Action,Environmental Education focused organization in San Diego CA.,https://directories.onepercentfortheplanet.org/profile/groundswell-collective-action,48
Southside Blooms/Chicago Eco House,Nonprofit florist converting vacant lots into solar powered flower farms hiring at risk youth. Chicago IL.,https://directories.onepercentfortheplanet.org/profile/nehemiah-group-dba-southside-bloomschicago-eco-house,48
Maryland Coastal Bays Program,Conserving and protecting the Maryland Coastal Bays through restoration monitoring education and outreach. Berlin MD.,https://directories.onepercentfortheplanet.org/profile/maryland-coastal-bays-program,48
The Giving Exchange,Improving lives by funding and implementing self-sustaining microbusinesses in East Africa. Walnut Creek CA.,https://directories.onepercentfortheplanet.org/profile/the-giving-exchange,48
Sweltering Cities,Climate Adaptation focused organization in Melbourne VIC Australia.,https://directories.onepercentfortheplanet.org/profile/sweltering-cities,48